IBOVESPA - 1/1/2012 12:00:00 AM 12/31/2023 12:00:00 AM
Mês;Ano;Valor

1;2012;63.072,31
2;2012;65.811,73
3;2012;64.510,97
4;2012;61.820,26
5;2012;54.490,41
6;2012;54.354,63
7;2012;56.097,05
8;2012;57.061,45
9;2012;59.175,80
10;2012;57.068,18
11;2012;57.474,57
12;2012;60.952,08
1;2013;59.761,49
2;2013;57.424,29
3;2013;56.352,09
4;2013;55.910,37
5;2013;53.506,08
6;2013;47.457,13
7;2013;48.234,49
8;2013;50.011,75
9;2013;52.338,19
10;2013;54.256,20
11;2013;52.482,49
12;2013;51.507,16
1;2014;47.638,99
2;2014;47.094,40
3;2014;50.414,92
4;2014;51.626,69
5;2014;51.239,34
6;2014;53.168,22
7;2014;55.829,41
8;2014;61.288,15
9;2014;54.115,98
10;2014;54.628,60
11;2014;54.724,00
12;2014;50.007,41
1;2015;46.907,68
2;2015;51.583,09
3;2015;51.150,16
4;2015;56.229,38
5;2015;52.760,47
6;2015;53.080,88
7;2015;50.864,77
8;2015;46.625,52
9;2015;45.059,34
10;2015;45.868,81
11;2015;45.120,36
12;2015;43.349,96
1;2016;40.405,99
2;2016;42.793,86
3;2016;50.055,27
4;2016;53.910,50
5;2016;48.471,70
6;2016;51.526,92
7;2016;57.308,20
8;2016;57.901,10
9;2016;58.367,04
10;2016;64.924,51
11;2016;61.906,35
12;2016;60.227,28
1;2017;64.670,78
2;2017;66.662,10
3;2017;64.984,06
4;2017;65.403,24
5;2017;62.711,47
6;2017;62.899,97
7;2017;65.920,36
8;2017;70.835,05
9;2017;74.293,50
10;2017;74.308,49
11;2017;71.970,99
12;2017;76.402,08
1;2018;84.912,70
2;2018;85.353,60
3;2018;85.365,56
4;2018;86.115,50
5;2018;76.753,61
6;2018;72.762,52
7;2018;79.220,44
8;2018;76.677,53
9;2018;79.342,43
10;2018;87.423,55
11;2018;89.504,03
12;2018;87.887,27
1;2019;97.393,75
2;2019;95.584,35
3;2019;95.414,56
4;2019;96.353,33
5;2019;97.030,32
6;2019;100.967,20
7;2019;101.812,13
8;2019;101.134,61
9;2019;104.745,32
10;2019;107.219,83
11;2019;108.233,28
12;2019;115.645,34
1;2020;113.760,57
2;2020;104.171,57
3;2020;73.019,76
4;2020;80.505,89
5;2020;87.402,59
6;2020;95.055,82
7;2020;102.912,24
8;2020;99.369,15
9;2020;94.603,38
10;2020;93.952,40
11;2020;108.893,32
12;2020;119.017,24
1;2021;115.067,55
2;2021;110.035,17
3;2021;116.633,72
4;2021;118.893,84
5;2021;126.215,73
6;2021;126.801,66
7;2021;121.800,79
8;2021;118.781,03
9;2021;110.979,10
10;2021;103.500,71
11;2021;101.915,45
12;2021;104.822,44
1;2022;112.143,51
2;2022;113.141,94
3;2022;119.999,23
4;2022;107.876,16
5;2022;111.350,51
6;2022;98.541,95
7;2022;103.164,69
8;2022;109.522,88
9;2022;110.036,79
10;2022;116.037,08
11;2022;112.486,01
12;2022;109.734,60
1;2023;113.430,54
2;2023;104.931,93
3;2023;101.882,20
4;2023;104.431,63
5;2023;108.335,07
6;2023;118.087,00
7;2023;121.942,98
8;2023;115.741,81
9;2023;116.565,17
10;2023;113.143,67
11;2023;127.331,12
12;2023;134.185,24
